cnpj;tx_razao_social_osc;tx_nome_fantasia_osc;dt_fundacao_osc;removida_do_mosc;data_fechamento;ano_fechamento;tx_endereco_completo;municipio_nome;UF_Sigla;longitude;latitude;cnae;Area_Assistencia_social;Populacao
21264159000193;ASSOCIACAO TALENTOS ESPECIAIS LIBERDADE ESPERANCA BENEFICENTE DE OPORTUNIDADES AO MENOR - TELEBOM;TELEBOM;2009-12-16;não;;;RUA SANTA ANASTACIA, 53, , VILA PRINCESA ISABEL, São Paulo, SP, 08410550;S�o Paulo;SP;-46,416686;-23,550764;85112.0;1.0;11.904.961
322945000120;ASSOCIACAO EDUCACIONAL ESPERANCA E VIDA;;1994-11-30;não;;;RUA PROF SEBASTIAO SOARES DE FARIA27, CJ 803, BELA VISTA, São Paulo, SP, 01317010;S�o Paulo;SP;-46,6426588269996;-23,5601453199996;87115.0;1.0;11.904.961
33915604029441;LEGIAO DA BOA VONTADE;AMBULATORIO SESMT;1970-05-18;não;;;RUA VISCONDE TAUNAY968, BOM RETIRO, São Paulo, SP, 01132000;S�o Paulo;SP;-46,6497979229996;-23,5224766779996;88006.0;1.0;11.904.961
43898923001359;ASSISTENCIA E PROMOCAO SOCIAL EXERCITO DE SALVACAO;ESCRITORIO REGIONAL DE SAO PAULO;1975-02-24;não;;;RUA CARAMURU, 931, , SAUDE, São Paulo, SP, 04138002;S�o Paulo;SP;-46,636184;-23,612192;88006.0;1.0;11.904.961
52025491000129;ASSOCIACAO DE ARTE FLORAL KADO IEMOTO IKENOBO;;1982-06-01;não;;;AVENIDA DA LIBERDADE486, CJ 1210, LIBERDADE, São Paulo, SP, 01502001;S�o Paulo;SP;-46,6373794129996;-23,5587969829996;87115.0;1.0;11.904.961
53852687000150;ASSOCIACAO LIMIAR;LIMIAR;1984-11-23;não;;;RUA DOUTOR ALFREDO PUJOL FILHO, 32, , PLANALTO PAULISTA, São Paulo, SP, 04070020;S�o Paulo;SP;-46,646392;-23,627481;87301.0;1.0;11.904.961
11654123000162;ORGANIZACAO DE APOIO AOS PORTADORES DE DISTROFIAS - OAPD;OAPD;2010-02-10;não;;;RUA CONDE DE PORTO ALEGRE1808, CAMPO BELO, São Paulo, SP, 04608003;S�o Paulo;SP;-46,6787822199996;-23,6279012399996;87115.0;1.0;11.904.961
3763483000255;CENTRO PRO AUTISTA DE DESENVOLVIMENTO TECNOLOGICO DE POLITICAS PUBLICAS E SOCIAIS-CPA SOCIAL;;2004-11-23;não;;;RUA JUREIA1024, SAUDE, São Paulo, SP, 04140110;S�o Paulo;SP;-46,6299608719996;-23,6032355659996;87204.0;1.0;11.904.961
12356782000185;ASSOCIACAO ENGENHEIROS SEM FRONTEIRAS - BRASIL (ESF-BRASIL);ESF-BRASIL;2010-07-22;não;;;RUA MARQUES DE ITU551, VILA BUARQUE, São Paulo, SP, 01223001;S�o Paulo;SP;-46,6478862089996;-23,5437576059996;94120.0;1.0;11.904.961
7001031000106;GRUPO CHAVERIM;GRUPO CHAVERIM;2004-08-06;não;;;RUA HUNGRIA1.000, JARDIM EUROPA, São Paulo, SP, 01455000;S�o Paulo;SP;-46,6927428389996;-23,5810544009996;88006.0;1.0;11.904.961
62696422000109;COLEGIO NOSSA SENHORA DO CARMO;;1970-03-05;não;;;RUA MIN JESUINO CARDOSO360, ITAIM BIBI, São Paulo, SP, 04544051;S�o Paulo;SP;-46,6820803959996;-23,5927332549996;87115.0;1.0;11.904.961
60266640000170;HUMANITAS ASSOCIACAO BENEFICENTE MENINO JESUS DE BRAGA;COLEGIO MARIA MAE DO VERBO ENCARNADO;1989-04-05;não;;;RUA VICENTE STRICHALSKY659, JARDIM GUACURI, São Paulo, SP, 04475072;S�o Paulo;SP;-46,6308216359996;-23,7033901329996;87301.0;1.0;11.904.961
9064451000167;CASA FIRME CUIDANDO DE QUEM PRECISA;CAFICARE;2007-06-26;não;;;AVENIDA DO CURSINO2567, CURSINO, São Paulo, SP, 04133200;S�o Paulo;SP;-46,6192837809996;-23,6188425259996;88006.0;1.0;11.904.961
58413626000100;CLUBE DE MAES DO JARDIM SANTA CRUZ;;1988-01-19;não;;;AVENIDA MASAO WATANABE525, JD SANTA CRUZ, São Paulo, SP, 02672000;S�o Paulo;SP;-46,6649884609996;-23,4611803029996;87115.0;1.0;11.904.961
5634800000188;CENTRO DE INTEGRACAO COMUNITARIA DE CIDADE A. E. CARVALHO E ADJACENCIAS;;2002-10-16;não;;;RUA CAXIU139, A E CARVALHO, São Paulo, SP, 08225030;S�o Paulo;SP;-46,4592734219996;-23,5306321839996;88006.0;1.0;11.904.961
19498192000136;INSTITUTO ABIHPEC;;2013-12-13;não;;;AVENIDA BRIG LUIS ANTONIO2344, SALA  21, JARDIM PAULISTA, São Paulo, SP, 01402900;S�o Paulo;SP;-46,6587599869996;-23,5768468249996;88006.0;1.0;11.904.961
7406905000105;INSTITUTO SOCIAL CASA LUZ;;2005-05-18;não;;;RUA AQUILES LISBOA108, VILA BARRETO, São Paulo, SP, 02937090;S�o Paulo;SP;-46,7208219659996;-23,4860931269996;87301.0;1.0;11.904.961
61876868000578;CIRCULO DE TRABALHADORES CRISTAOS DE VILA PRUDENTE;CASA DAMIAO DE MOLOKAI;1998-09-17;não;;;RUA JOSE ZAPPI255, TERREO, VILA PRUDENTE, São Paulo, SP, 03128140;S�o Paulo;SP;-46,5855550329996;-23,5810808659996;88006.0;1.0;11.904.961
64034911000112;ASSOCIACAO O RAIAR DO SOL;;1990-11-21;não;;;RUA LUIS GAMA500, CAMBUCI, São Paulo, SP, 01519010;S�o Paulo;SP;-46,6218941779996;-23,5590849519996;87115.0;1.0;11.904.961
73000911000192;INSTITUTO AMOR E UNIAO;INSTITUTO AMOR E UNIAO - UNIDADE SEDE;1993-12-29;não;;;RUA JOSEFA FONTOURA545, JARAGUA, São Paulo, SP, 02992180;S�o Paulo;SP;-46,7262628569996;-23,4496427419996;88006.0;1.0;11.904.961
4676010001174;ASSOCIACAO DE LUTA E PROMOCAO SOCIAL JARDIM ROBRU E ADJACENCIAS;CENTRO DIA PARA IDOSOS;2016-06-15;não;;;RUA DR MARIO PINTO SERVA184, CASA VERDE ALTA, São Paulo, SP, 02555090;S�o Paulo;SP;-46,6664736049996;-23,4926706399996;88006.0;1.0;11.904.961
62811484000106;LIGA BENEFICIENTE DAS SENHORAS GREGAS DE SAO PAULO;;1970-06-29;não;;;AVENIDA PRESTES MAIA241, 9 AND S/925, CENTRO, São Paulo, SP, 01031902;S�o Paulo;SP;-46,6340878089996;-23,5403762779996;87301.0;1.0;11.904.961
7728142000119;ALMA - CASA DE APOIO A SOCIEDADE CARENTE;;2005-09-08;não;;;AVENIDA DR. VIEIRA DE CARVALHO167, VILA BUARQUE, São Paulo, SP, 01210010;S�o Paulo;SP;-46,6447741809996;-23,5408456299996;88006.0;1.0;11.904.961
62264494005057;CENTRO SOCIAL NOSSA SENHORA DO BOM PARTO;CENTRO COMUNITARIO SAO MARTINHO DE LIMA POVO DE RUA III;2003-03-17;não;;;RUA CAJURU362, BELENZINHO, São Paulo, SP, 03057000;S�o Paulo;SP;-46,5969239399996;-23,5417494549996;88006.0;1.0;11.904.961
7827871000475;CENTRO DE CAPACITACAO PARA A VIDA - PROJETO NEEMIAS;;2016-02-01;não;;;RUA FRIEDRICH VON VOITH550, JARDIM SAO JOAO (JARAGUA), São Paulo, SP, 02995000;S�o Paulo;SP;-46,7408868789996;-23,4394876069996;87301.0;1.0;11.904.961
49306038000186;CENTRO COMUNITARIO JARDIM DAMASCENO;;1978-03-07;não;;;AVENIDA HUGO ITALO MERIGO1375, JARDIM DAMASCENO, São Paulo, SP, 02879000;S�o Paulo;SP;-46,6983003529996;-23,4514705769996;87115.0;1.0;11.904.961
28247490000144;CUIDADORIA SENIOR BRASIL;CSB;2017-06-26;não;;;AVENIDA BOTURUSSU670, PARQUE BOTURUSSU, São Paulo, SP, 03802000;S�o Paulo;SP;-46,4884420729996;-23,5068882769996;87115.0;1.0;11.904.961
62264494005995;CENTRO SOCIAL NOSSA SENHORA DO BOM PARTO;NCI SANTA VINCENZA GEROSA;2009-07-03;não;;;RUA MANUEL ONHA425, VILA ORATORIO, São Paulo, SP, 03192100;S�o Paulo;SP;-46,5784486819996;-23,5721336719996;88006.0;1.0;11.904.961
