id_equipamento,ibge,uf,cidade,nome,responsavel,telefone,endereco,numero,complemento,referencia,bairro,cep,georef_location,data_atualizacao
28035010085,280350,SE,Lagarto,CRAS MARIA ACACIA CARVALHO RIBEIRO,,,NOSSA NOSSA SENHORA PIEDADE - 901,901,,VIZINHO AO TIRO DE GUERRA,ADEMAR DE CARVALHO,49402584,"-10.909356903318221\,-37.66178190708161",2026-03-12T04:09:14.246Z
28035020154,280350,SE,Lagarto,CRAS NELSON BATISTA DOS SANTOS,,,DO MERCADO - 831,831,,JARDIM UIRAPURU,POVOADO COLÔNIA TREZE,49409899,"-10.98335037661329\,-37.551044225692756",2026-03-12T04:09:14.246Z
28035038866,280350,SE,Lagarto,CRAS IV,,,POV BRASILIA - 1220,1220,,PROXIMO A FABRICA DE POLPA,POVOADO BRASILIA,49408000,"-10.895134390752673\,-37.54471421241761",2026-03-12T04:09:16.995Z
28036006175,280360,SE,Laranjeiras,MARTA BARROS HAGENBECK,,,AUGUSTO MAYNARD - 0,0,,,CENTRO,49170000,"-10.809258150518026\,-37.16711282730103",2026-03-12T04:09:12.448Z
28036020431,280360,SE,Laranjeiras,CRAS ÂNGELA MARIA DE CARVALHO LIMA BOMFIM,,,A - 0,0,CONJUNTO JOSE FRANCO,,CENTRO,49170000,"-10.79511518544009\,-37.16485977172852",2026-03-12T04:09:12.448Z
28037000874,280370,SE,Macambira,MACAMBIRA,,,AV ANA ANA LUIZA DORTAS VALADARES - 00,00,,Próximo ao Colégio Municipal Cecílio Eugênio Alves,CENTRO,49565000,"-10.665195464989148\,-37.54454684275515",2026-03-12T04:09:13.180Z
28038000873,280380,SE,Malhada Dos Bois,CRAS JOANA LUIZA CALDAS AGUIAR DE MOURA,,,GUSTAVO PALMEIRA - 00,00,,,CENTRO,49940000,"-10.349\,-36.924",2026-03-12T04:09:12.842Z
28039003647,280390,SE,Malhador,CRAS MALHADOR,,,Senador Walter Franco - 442,442,,Defronte Tata Gás,CENTRO,49570000,"-10.656706774928727\,-37.3063087463379",2026-03-12T04:09:13.120Z
28040003793,280400,SE,Maruim,CRAS CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL,,,RUA DA BRASÍLIA - 00,00,,,CENTRO,49770000,"-10.736970682780612\,-37.08455443382264",2026-03-12T04:09:12.393Z
28041002371,280410,SE,Moita Bonita,CRAS I - Maria Adenilde Rodrigues,,,JOÃO EVANGELISTA DA COSTA - 00,00,CASA,VIZINHO A UNIDADE DE SAÚDE SERAPIÃO ANTONIO DE GOIS,CENTRO,49560000,"-10.576695255232988\,-37.35000729560853",2026-03-12T04:09:13.180Z
