cnpj;tx_razao_social_osc;tx_nome_fantasia_osc;dt_fundacao_osc;removida_do_mosc;data_fechamento;ano_fechamento;tx_endereco_completo;municipio_nome;UF_Sigla;longitude;latitude;cnae;Area_Assistencia_social
39908055000130;NUCLEO DE APOIO A VIDA DE ANDRADINA / SP, NAVIA;NAVIA;2020-11-19;não;;;RUA BANDEIRANTES1427, CENTRO, Andradina, SP, 16901019;ANDRADINA;SP;-51,3718359699996;-20,9004819069996;87204.0;1.0
18622171000207;FAZENDA DE RECUPERACAO UMA NOVA HISTORIA;FAZENDA DE RECUPERACAO UMA NOVA HISTORIA;2020-11-20;não;;;RUA TERENCIO RICCIARDI795, SAO JOAO, Sertãozinho, SP, 14170400;SERT�OZINHO;SP;-47,9815238559996;-21,1034075289996;87204.0;1.0
40841770000181;ASSOCIACAO BENEFICENTE, CULTURAL, SOCIAL E DESPORTIVA CONEXAO 29;;2020-11-23;não;;;RUA MOISES DE CORENA1484, CIDADE TIRADENTES, São Paulo, SP, 08475170;S�O PAULO;SP;-46,3997335619996;-23,5893651049996;88006.0;1.0
41798630000130;ASSOCIACAO DE SURFPARKS DO BRASIL;ASB - ASSOCIACAO DE SURFPARKS DO BRASIL;2020-11-23;não;;;RUA MACAUBA227, JARDIM VIRGINIA, Guarujá, SP, 11442680;GUARUJ�;SP;-46,2131924999996;-23,9743222289996;88006.0;1.0
40017015000187;ASSISTENCIA SOCIAL REFORMISTA - O BOM SAMARITANO;ASSISTENCIA SOCIAL REFORMISTA - O BOM SAMARITANO;2020-11-26;não;;;RODOVIA PRESIDENTE CASTELO BRANCOKM 73, ANEXO ADMINISTRATIVO      SALA  ASSISTENCIA SOCIAL, CITY CASTELLO, Itu, SP, 13308700;ITU;SP;-47,3173163649996;-23,4023487009996;88006.0;1.0
40189930000150;MINISTERIO DUNAMIS MISSOES;MINISTERIO DUNAMIS MISSOES;2020-12-01;não;;;RUA DAMIAO CHAVES CORREA100, JARDIM VENEZA, São José do Rio Preto, SP, 15082015;S�O JOS� DO RIO PRETO;SP;-49,3302861829996;-20,8862562329996;87204.0;1.0
40474656000160;ASSOCIACAO OLHAR DO FUTURO;;2020-12-03;não;;;RUA MANOEL DOS REIS, 50, , JARDIM EUROPA, Suzano, SP, 08696060;SUZANO;SP;-46,295309;-23,501909;88006.0;1.0
2627820002853;SAMARITANO SAO FRANCISCO DE ASSIS;RESIDENCIA INCLUSIVA SAMARITANO;2020-12-04;não;;;RUA CAP NASCIMENTO212, JACANA, São Paulo, SP, 02273110;S�O PAULO;SP;-46,5862794389996;-23,4650270539996;87301.0;1.0
40110156000140;CASA ACOLHEDORA IRMA ANTONIA;;2020-12-07;não;;;RUA PEDRO SILVEIRA MARTINS10, SALA  F, JARDIM BELA VISTA, Jaguariúna, SP, 13911412;JAGUARI�NA;SP;-46,9855090539996;-22,7042270069996;87301.0;1.0
49873722000492;PEQUENO COTOLENGO DOM ORIONE - ORIONOPOLIS;MAE DA DIVINA PROVIDENCIA;2020-12-07;não;;;AVENIDA DONA CHERUBINA VIANA90, VILA SANTO ANTONIO, Cotia, SP, 06708360;COTIA;SP;-46,8419250859996;-23,5896938909996;87301.0;1.0
40214341000184;SERVICO DE ATENDIMENTO AO AUTISTA DE FERRAZ DE VASCONCELOS;SAAFV;2020-12-09;não;;;AVENIDA DOM PEDRO II, 591, , VILA ROMANOPOLIS, Ferraz de Vasconcelos, SP, 08500400;FERRAZ DE VASCONCELOS;SP;-46,368724;-23,548352;88006.0;1.0
41280235000161;ASSOCIACAO MANOEL AMBROSIO DA SILVA;ASSOCIACAO MANOEL AMBROSIO DA SILVA;2020-12-10;não;;;RUA RUI BARBOSA158, CENTRO, Taquaritinga, SP, 15900021;TAQUARITINGA;SP;-48,5722906039996;-21,3676697329996;88006.0;1.0
7618241000229;ASSOCIACAO AFRO BRASILEIRA NOSSA SENHORA APARECIDA;;2020-12-10;não;;;AVENIDA LOTHAR WALDEMAR HOEHNE61, JARDIM RODEIO, Mogi das Cruzes, SP, 08775000;MOGI DAS CRUZES;SP;-46,1918551739996;-23,5040458259996;87301.0;1.0
40348598000129;GELADEIRA COMUNITARIA;;2020-12-14;não;;;RUA HENRIQUE LUPO331, VILA JOSE BONIFACIO, Araraquara, SP, 14801295;ARARAQUARA;SP;-48,1781909949996;-21,7802296569996;88006.0;1.0
40335004000145;ASSOCIACAO DE PAIS DO ESPECTRO AUTISTA DE SOROCABA - APEAS;APEAS;2020-12-14;não;;;RUA ICARAI309, VILA JARDINI, Sorocaba, SP, 18044275;SOROCABA;SP;-47,4735605139997;-23,5123911729996;94308.0;1.0
41711062000199;TRANSFORMANDO VONTADE EM ACAO;TRANSFORMANDO VONTADE EM ACAO;2020-12-15;não;;;RUA LUIZ GUSTAVO DE VASCONCELOS348, RESIDENCIAL BOSQUE DOS IPES, São José dos Campos, SP, 12236872;S�O JOS� DOS CAMPOS;SP;-45,8972849499996;-23,2524272459996;94308.0;1.0
41715409000171;ONG SOS PONTO SOLIDARIO ITAPEVA;ONG SOS PONTO SOLIDARIO;2020-12-16;não;;;RUA BENJAMIN CONSTANT372, JARDIM FERRARI, Itapeva, SP, 18405000;ITAPEVA;SP;-48,8781448659996;-23,9945639499996;88006.0;1.0
13445287000296;ASSOCIACAO COMUNITARIA FENIX;;2020-12-17;não;;;RUA LOANDA895, SALA  05, CHACARAS REUNIDAS, São José dos Campos, SP, 12238330;S�O JOS� DOS CAMPOS;SP;-45,9253084559996;-23,2538110169996;94308.0;1.0
40615886000100;ASSOCIACAO PROJETO B.E.M. (BRASIL ESSENCIA MUSICAL);PROJETO BEM;2020-12-18;não;;;RUA IBIRACABA65, VILA FLORESTA, Santo André, SP, 09051530;SANTO ANDR�;SP;-46,5490952289996;-23,6743233029996;88006.0;1.0
40738455000123;COMUNIDADE TERAPEUTICA ANJOS DE CRISTO;COMUNIDADE TERAPEUTICA ANJOS DE CRISTO;2020-12-18;não;;;RUA OSVALDO CRUZ1267, JARDIM OSVALDO CRUZ, Bertioga, SP, 11250003;BERTIOGA;SP;-46,1400299519996;-23,8490623359996;87204.0;1.0
40517943000100;ORGANIZACAO HUMANITARIA MANA DE DEUS;;2020-12-21;não;;;ESTRADA DO M'BOI MIRIM3662, JARDIM DIONISIO, São Paulo, SP, 04935056;S�O PAULO;SP;-46,7674915969996;-23,6833526199996;88006.0;1.0
40816385000184;INSTITUTO AMOR PHILIA;AMORPHILIA;2020-12-21;não;;;RUA ERIDANO182, CASA  03 OU 04, JARDIM DO COLEGIO, Embu das Artes, SP, 06815390;EMBU;SP;-46,8191183159996;-23,6546975069996;94936.0;1.0
45232707000161;INSTITUTO DO BRASIL DE APOIO A PACIENTES DA CANNABIS TERAPEUTICA;IBRACAN;2020-12-21;não;;;RUA JOSE BURLAMARQUI DE ANDRADE, 44, QUADRAA                   LOTE  38, CENTRO, Bertioga, SP, 11250237;BERTIOGA;SP;-46,13858;-23,846414;88006.0;1.0
8326260000406;GRUPO DE ATENDIMENTO E PREVENCAO DO CANCER;GRUPO DO CANCER;2020-12-21;não;;;AVENIDA DOUTOR CENOBELINO DE BARROS SERRA2909, PARQUE INDUSTRIAL, São José do Rio Preto, SP, 15030000;S�O JOS� DO RIO PRETO;SP;-49,3991571009996;-20,8029275739996;87115.0;1.0
41349844000120;INSTITUTO GILENO BAHIA PARA O DESENVOLVIMENTO HUMANO;INSTITUTO GILENO BAHIA;2020-12-22;não;;;RUA DOS ARTISTAS72, JARDIM RECANTO DA FONTE, Embu das Artes, SP, 06804440;EMBU;SP;-46,8516588289996;-23,6442383029996;88006.0;1.0
40620962000168;CENTRO RELIGIOSO DE ESTUDOS CHAVRUTA;;2020-12-23;não;;;RUA DR ALBUQUERQUE LINS635, SALA  11ED MANTOVANI TOWER, SANTA CECILIA, São Paulo, SP, 01230001;S�O PAULO;SP;-46,6560520319996;-23,5362475609996;88006.0;1.0
41385548000184;PROJETO RESGATADOS;;2020-12-28;não;;;RUA ORLANDO GOES LANDUCCI, 34, SALA  01, VILA BORGHESI, Sorocaba, SP, 18105448;SOROCABA;SP;-47,4737238;-23,4973459;88006.0;1.0
40650218000106;INSTITUTO AEQUI;;2021-01-05;não;;;RUA VICTOR BRECHERET64, ANDAR 2                   SALA  3, VILA MARIANA, São Paulo, SP, 04008100;S�O PAULO;SP;-46,6513158099996;-23,5829042149996;88006.0;1.0
61705877003600;ASSOCIACAO EVANGELICA BENEFICENTE;TELECENTRO;2021-01-06;não;;;RUA LUIS DE OLIVEIRA140, JARDIM DOM JOSE, São Paulo, SP, 05886120;S�O PAULO;SP;-46,7897898629996;-23,6800656189996;88006.0;1.0
71735641000647;SOCIEDADE AMIGOS NOVO HORIZONTE;CEI LOURDINHA PINHEIRO IV;2021-01-06;não;;;RUA DELFINO FACCHINA1321, LOTE  1325 LTS 12 13 14QD, AMERICANOPOLIS, São Paulo, SP, 04409080;S�O PAULO;SP;-46,6503873149996;-23,6764624299996;87115.0;1.0
42435598000191;ASSOCIACAO DA VO PRETA CIDADE TIRADENTES;;2021-01-07;não;;;RUA MOREIRA SALES01, CIDADE TIRADENTES, São Paulo, SP, 08475360;S�O PAULO;SP;-46,4006526379996;-23,5942318549996;88006.0;1.0
4676010002227;ASSOCIACAO DE LUTA E PROMOCAO SOCIAL JARDIM ROBRU E ADJACENCIAS;SMSE ALPS III;2021-01-08;não;;;RUA JOSE FRANCISCO A. SOFFREDI40, VILA FRANCOS, São Paulo, SP, 02881080;S�O PAULO;SP;-46,6737638609996;-23,4672419849996;88006.0;1.0
40761992000194;ASSOCIACAO BENEFICENTE MAO AMIGA;;2021-01-21;não;;;RUA LAZINHO FOGACA, 174, , CENTRO, Holambra, SP, 13825081;HOLAMBRA;SP;-47,053999;-22,635491;87301.0;1.0
41036594000178;CASARAO ASSOCIACAO BENEFICENTE;CASARAO ASSOCIACAO BENEFICENTE;2021-01-26;não;;;10A RUA MARIANO NOGUEIRA DE SOUZASN, PAULO SERGIO, Castilho, SP, 16920000;CASTILHO;SP;-51,4888701469996;-20,8693901589996;87301.0;1.0
40926110000101;INSTITUTO 31;;2021-01-27;não;;;RUA AGUA NOVA271, PARQUE CISPER, São Paulo, SP, 03819250;S�O PAULO;SP;-46,4953788729996;-23,5006283359996;88006.0;1.0
22693464000163;COMUNIDADE DE REINTEGRACAO SOCIAL VALE DE ESCOL;COMUNIDADE VALE DE ESCOL;2014-11-11;não;;;RUA GEROSINA SILVA PEREIRA45, JARDIM MONTE CRISTO/PARQUE OZIEL, Campinas, SP, 13049081;CAMPINAS;SP;-47,0828576709996;-22,9408710859996;87204.0;1.0
42397816000140;ASSOCIACAO GGK - GAROTADA E A ARTE DE VIVER;;2021-01-28;não;;;AVENIDA VEREADOR NARCISO YAGUE GUIMARAES1145, SALA  1105, VILA PARTENIO, Mogi das Cruzes, SP, 08780200;MOGI DAS CRUZES;SP;-46,1803360039996;-23,5177974209996;87301.0;1.0
41139844000103;SISTEMA DE MONITORACAO E AVALIACAO SOCIAL E AMBIENTAL DE SAO PAULO;SIMASA - SP;2021-01-29;não;;;RUA FERNANDES PINHEIRO242, LETRA A, VILA AZEVEDO, São Paulo, SP, 03308060;S�O PAULO;SP;-46,5720931999996;-23,5411910119996;88006.0;1.0
